Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,DistanceToDowntown,Log_SiteEnergyUseWN(kBtu)
DOWNTOWN,Bâtiments d'Hébergement,1927.0,1.0,12.0,88434.0,60.0,0.8646107746539715,15.824651811360166
DOWNTOWN,Bâtiments d'Hébergement,1996.0,1.0,11.0,88502.0,61.0,0.9072782067572586,15.974742467790398
DOWNTOWN,Bâtiments d'Hébergement,1969.0,1.0,41.0,759392.0,43.0,1.0476060443014645,18.118725465538716
DOWNTOWN,Bâtiments d'Hébergement,1926.0,1.0,10.0,61320.0,56.0,1.0380566249940628,15.75379189578183
DOWNTOWN,Bâtiments d'Hébergement,1980.0,1.0,18.0,113580.0,75.0,1.1002548621991322,16.50039475395106
DOWNTOWN,Bâtiments Autres,1999.0,1.0,2.0,60090.0,,1.2670044244451402,16.34775496848794
DOWNTOWN,Bâtiments d'Hébergement,1926.0,1.0,11.0,83008.0,27.0,0.989789293723931,15.617677101906956
DOWNTOWN,Bâtiments Autres,1926.0,1.0,8.0,102761.0,,0.9333594125273219,15.771071488061695
DOWNTOWN,Bâtiments d'Hébergement,1904.0,1.0,15.0,163984.0,43.0,0.24170257204779644,16.468333772936266
DOWNTOWN,Bâtiments d'Hébergement,1969.0,1.0,11.0,133884.0,30.0,0.21919016559672883,16.627736433076585
DOWNTOWN,Bâtiments d'Hébergement,1998.0,1.0,25.0,272015.0,36.0,0.23702071948319353,17.11394090982675
DOWNTOWN,Bâtiments d'Hébergement,1928.0,1.0,9.0,65009.0,48.0,0.22007484219152568,15.665337735831763
DOWNTOWN,Bâtiments d'Hébergement,1980.0,1.0,33.0,258352.0,58.0,0.35974404044464636,16.93013409730517
DOWNTOWN,Bâtiments d'Hébergement,1922.0,1.0,11.0,66990.0,35.0,0.2952400703608915,16.229565824587617
DOWNTOWN,Bâtiments Autres,2004.0,1.0,11.0,355000.0,,0.17090652249639884,16.7444036926547
DOWNTOWN,Bâtiments Autres,1930.0,1.0,6.0,103911.0,,0.07855341288521094,16.137125921240067
DOWNTOWN,Bâtiments d'Hébergement,1983.0,1.0,28.0,331281.0,31.0,0.2912896629033105,17.352168499377516
DOWNTOWN,Bâtiments d'Hébergement,1916.0,1.0,10.0,104352.0,39.0,0.18697850381698097,16.13343824905496
DOWNTOWN,Bâtiments Autres,1916.0,1.0,10.0,540360.0,76.0,0.3506573416529873,17.66614929436709
DOWNTOWN,Bâtiments Autres,1985.0,1.0,19.0,385274.0,,0.4128357948090331,17.718275095746698
NORTHEAST,Bâtiments d'Hébergement,2001.0,1.0,6.0,58006.0,84.0,6.186771767209582,15.116570439749157
DOWNTOWN,Bâtiments Éducatifs et Culturels,1928.0,1.0,7.0,126593.0,,1.4756757782510332,16.31557786862339
DOWNTOWN,Bâtiments Autres,1930.0,1.0,2.0,67224.0,,1.130024901216321,14.08571907185736
EAST,Bâtiments d'Hébergement,1991.0,1.0,8.0,128375.0,,0.9463291957996369,15.506517950423158
DOWNTOWN,Bâtiments d'Hébergement,2001.0,1.0,10.0,133585.0,57.0,1.4565816165801633,16.228868215026306
DOWNTOWN,Bâtiments d'Hébergement,1978.0,1.0,5.0,52210.0,57.0,1.3289664728482449,15.332389003910944
LAKE UNION,Bâtiments Commerciaux et Administratifs,1906.0,1.0,3.0,87262.0,,6.57201573636612,15.363858077627487
NORTHEAST,Bâtiments d'Hébergement,1994.0,1.0,4.0,81871.0,29.0,7.227131759826142,15.722276248101736
NORTHEAST,Bâtiments Industriels et de Stockage,1955.0,1.0,2.0,110356.0,,6.909727976782929,12.695339828489207
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1961.0,3.0,2.0,714095.0,,10.94378209053789,17.602197457481186
MAGNOLIA / QUEEN ANNE,Bâtiments Éducatifs et Culturels,1990.0,1.0,2.0,54986.0,97.0,7.162873887245405,14.404669822087598
BALLARD,Bâtiments Commerciaux et Administratifs,1961.0,1.0,2.0,94900.0,57.0,7.782338926474699,15.692891070059687
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1900.0,1.0,2.0,52554.0,83.0,3.2144559995903297,14.963115053881802
NORTHWEST,Bâtiments Éducatifs et Culturels,1954.0,1.0,3.0,175015.0,95.0,9.329105459913752,15.880663819102567
DOWNTOWN,Bâtiments Industriels et de Stockage,1911.0,1.0,3.0,70586.0,,1.6315104150797077,14.662054241174207
DOWNTOWN,Bâtiments d'Hébergement,1969.0,1.0,24.0,126240.0,67.0,0.49474766681609406,16.598247301911137
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1973.0,1.0,5.0,168115.0,78.0,0.7343137733945257,16.070601656398004
DOWNTOWN,Bâtiments Autres,1920.0,1.0,2.0,57428.0,,0.707874899401627,14.030162759594496
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1910.0,1.0,8.0,59400.0,14.0,0.6899499815845299,15.472305322151866
DOWNTOWN,Bâtiments d'Hébergement,1930.0,1.0,20.0,88591.0,71.0,0.8153479555855606,15.440588918419552
DOWNTOWN,Bâtiments d'Hébergement,1982.0,1.0,34.0,847518.0,63.0,0.6514053260155339,18.22610124056691
DOWNTOWN,Bâtiments d'Hébergement,1985.0,1.0,7.0,71150.0,98.0,0.8037835575429643,15.492291181118645
DOWNTOWN,Bâtiments d'Hébergement,1908.0,1.0,7.0,122810.0,99.0,0.9218286836991456,15.621898917948172
LAKE UNION,Bâtiments d'Hébergement,1959.0,1.0,5.0,70627.0,86.0,1.8308086038608435,15.507155818162556
LAKE UNION,Bâtiments d'Hébergement,2000.0,1.0,7.0,115718.0,84.0,1.8035061785140183,15.73760572527001
LAKE UNION,Bâtiments d'Hébergement,1997.0,1.0,6.0,88100.0,80.0,1.8397204167941925,15.597544217798998
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,1998.0,1.0,6.0,118858.0,81.0,2.5801992281721273,15.739734027439573
EAST,Bâtiments Éducatifs et Culturels,1911.0,1.0,3.0,56072.0,76.0,3.796498454427959,15.150733573748312
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,1999.0,1.0,4.0,78051.0,94.0,2.3899155055352597,15.49959776743791
CENTRAL,Bâtiments Commerciaux et Administratifs,1962.0,1.0,2.0,54984.0,71.0,1.8425534383455677,15.104784045627481
LAKE UNION,Bâtiments d'Hébergement,2008.0,1.0,6.0,63371.0,74.0,1.6567589581806643,15.147216728799762
EAST,Bâtiments Commerciaux et Administratifs,1965.0,1.0,3.0,179014.0,48.0,1.234165093083162,16.62054904521394
EAST,Bâtiments d'Hébergement,1908.0,1.0,7.0,76631.0,71.0,0.667821373649339,15.796612918292867
LAKE UNION,Bâtiments de Vente et de Services,1929.0,1.0,2.0,58320.0,96.0,1.958618681254962,14.033061499750707
LAKE UNION,Bâtiments Commerciaux et Administratifs,2010.0,1.0,5.0,316306.0,96.0,2.1485258307516353,16.448066154186936
LAKE UNION,Bâtiments d'Hébergement,1990.0,1.0,7.0,238097.0,37.0,2.380254625110922,16.820926146527857
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1962.0,1.0,1.0,389000.0,,2.43898877507852,16.98254241053388
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1962.0,1.0,1.0,91213.0,,2.43898877507852,15.917432755465748
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1938.0,1.0,5.0,396085.0,,2.43898877507852,16.872236185344697
LAKE UNION,Bâtiments Commerciaux et Administratifs,2010.0,1.0,12.0,571329.0,91.0,1.8022333805782187,17.508218499060412
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1962.0,1.0,2.0,52000.0,,2.4697290782908334,14.802164222362995
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1928.0,1.0,1.0,60696.0,,2.4697290782908334,13.683057797692378
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1928.0,1.0,2.0,262048.0,,2.4960230705460216,16.85159372308695
