Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,DistanceToDowntown,proportion_surface_parking,proportion_surface_building,Log_SiteEnergyUseWN(kBtu)
DOWNTOWN,Bâtiments d'Hébergement,1927.0,1.0,12.0,60.0,0.8646107746539715,0.0,1.0,15.824651811360166
DOWNTOWN,Bâtiments d'Hébergement,1996.0,1.0,11.0,61.0,0.9072782067572586,0.1454531409922175,0.8545468590077825,15.974742467790398
DOWNTOWN,Bâtiments d'Hébergement,1969.0,1.0,41.0,43.0,1.0476060443014645,0.20574829256047944,0.7942517074395206,18.118725465538716
DOWNTOWN,Bâtiments d'Hébergement,1926.0,1.0,10.0,56.0,1.0380566249940628,0.0,1.0,15.75379189578183
DOWNTOWN,Bâtiments d'Hébergement,1980.0,1.0,18.0,75.0,1.1002548621991322,0.3531153889964688,0.6468846110035311,16.50039475395106
DOWNTOWN,Bâtiments Autres,1999.0,1.0,2.0,,1.2670044244451402,0.382349313378834,0.6176506866211661,16.34775496848794
DOWNTOWN,Bâtiments d'Hébergement,1926.0,1.0,11.0,27.0,0.989789293723931,0.0,1.0,15.617677101906956
DOWNTOWN,Bâtiments Autres,1926.0,1.0,8.0,,0.9333594125273219,0.0,1.0,15.771071488061695
DOWNTOWN,Bâtiments d'Hébergement,1904.0,1.0,15.0,43.0,0.24170257204779644,0.0,1.0,16.468333772936266
DOWNTOWN,Bâtiments d'Hébergement,1969.0,1.0,11.0,30.0,0.21919016559672883,0.12587243655452035,0.8741275634454797,16.627736433076585
DOWNTOWN,Bâtiments d'Hébergement,1998.0,1.0,25.0,36.0,0.23702071948319353,0.18356964487237976,0.8164303551276202,17.11394090982675
DOWNTOWN,Bâtiments d'Hébergement,1928.0,1.0,9.0,48.0,0.22007484219152568,0.0,1.0,15.665337735831763
DOWNTOWN,Bâtiments d'Hébergement,1980.0,1.0,33.0,58.0,0.35974404044464636,0.18230617308958322,0.8176938269104168,16.93013409730517
DOWNTOWN,Bâtiments d'Hébergement,1922.0,1.0,11.0,35.0,0.2952400703608915,0.2733485193621868,0.7266514806378133,16.229565824587617
DOWNTOWN,Bâtiments Autres,2004.0,1.0,11.0,,0.17090652249639884,0.1383495145631068,0.8616504854368932,16.7444036926547
DOWNTOWN,Bâtiments Autres,1930.0,1.0,6.0,,0.07855341288521094,0.0,1.0,16.137125921240067
DOWNTOWN,Bâtiments d'Hébergement,1983.0,1.0,28.0,31.0,0.2912896629033105,0.20418899733593415,0.7958110026640659,17.352168499377516
DOWNTOWN,Bâtiments d'Hébergement,1916.0,1.0,10.0,39.0,0.18697850381698097,0.0,1.0,16.13343824905496
DOWNTOWN,Bâtiments Autres,1916.0,1.0,10.0,76.0,0.3506573416529873,0.0,1.0,17.66614929436709
DOWNTOWN,Bâtiments Autres,1985.0,1.0,19.0,,0.4128357948090331,0.0,1.0,17.718275095746698
NORTHEAST,Bâtiments d'Hébergement,2001.0,1.0,6.0,84.0,6.186771767209582,0.34524562037204265,0.6547543796279574,15.116570439749157
DOWNTOWN,Bâtiments Éducatifs et Culturels,1928.0,1.0,7.0,,1.4756757782510332,0.0,1.0,16.31557786862339
DOWNTOWN,Bâtiments Autres,1930.0,1.0,2.0,,1.130024901216321,0.0,1.0,14.08571907185736
EAST,Bâtiments d'Hébergement,1991.0,1.0,8.0,,0.9463291957996369,0.19096145604880385,0.8090385439511961,15.506517950423158
DOWNTOWN,Bâtiments d'Hébergement,2001.0,1.0,10.0,57.0,1.4565816165801633,0.22273748152630538,0.7772625184736947,16.228868215026306
DOWNTOWN,Bâtiments d'Hébergement,1978.0,1.0,5.0,57.0,1.3289664728482449,0.2368074842859231,0.7631925157140769,15.332389003910944
LAKE UNION,Bâtiments Commerciaux et Administratifs,1906.0,1.0,3.0,,6.57201573636612,0.0,1.0,15.363858077627487
NORTHEAST,Bâtiments d'Hébergement,1994.0,1.0,4.0,29.0,7.227131759826142,0.0,1.0,15.722276248101736
NORTHEAST,Bâtiments Industriels et de Stockage,1955.0,1.0,2.0,,6.909727976782929,0.0,1.0,12.695339828489207
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1961.0,3.0,2.0,,10.94378209053789,0.0,1.0,17.602197457481186
MAGNOLIA / QUEEN ANNE,Bâtiments Éducatifs et Culturels,1990.0,1.0,2.0,97.0,7.162873887245405,0.0,1.0,14.404669822087598
BALLARD,Bâtiments Commerciaux et Administratifs,1961.0,1.0,2.0,57.0,7.782338926474699,0.0,1.0,15.692891070059687
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1900.0,1.0,2.0,83.0,3.2144559995903297,0.0,1.0,14.963115053881802
NORTHWEST,Bâtiments Éducatifs et Culturels,1954.0,1.0,3.0,95.0,9.329105459913752,0.0,1.0,15.880663819102567
DOWNTOWN,Bâtiments Industriels et de Stockage,1911.0,1.0,3.0,,1.6315104150797077,0.0,1.0,14.662054241174207
DOWNTOWN,Bâtiments d'Hébergement,1969.0,1.0,24.0,67.0,0.49474766681609406,0.6199993979711628,0.3800006020288372,16.598247301911137
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1973.0,1.0,5.0,78.0,0.7343137733945257,0.0,1.0,16.070601656398004
DOWNTOWN,Bâtiments Autres,1920.0,1.0,2.0,,0.707874899401627,0.0,1.0,14.030162759594496
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1910.0,1.0,8.0,14.0,0.6899499815845299,0.0,1.0,15.472305322151866
DOWNTOWN,Bâtiments d'Hébergement,1930.0,1.0,20.0,71.0,0.8153479555855606,0.10182087312691364,0.8981791268730863,15.440588918419552
DOWNTOWN,Bâtiments d'Hébergement,1982.0,1.0,34.0,63.0,0.6514053260155339,0.14754800786954894,0.8524519921304511,18.22610124056691
DOWNTOWN,Bâtiments d'Hébergement,1985.0,1.0,7.0,98.0,0.8037835575429643,0.0,1.0,15.492291181118645
DOWNTOWN,Bâtiments d'Hébergement,1908.0,1.0,7.0,99.0,0.9218286836991456,0.0,1.0,15.621898917948172
LAKE UNION,Bâtiments d'Hébergement,1959.0,1.0,5.0,86.0,1.8308086038608435,0.3759377236620042,0.6240622763379958,15.507155818162556
LAKE UNION,Bâtiments d'Hébergement,2000.0,1.0,7.0,84.0,1.8035061785140183,0.23086944095498263,0.7691305590450174,15.73760572527001
LAKE UNION,Bâtiments d'Hébergement,1997.0,1.0,6.0,80.0,1.8397204167941925,0.24247635425623387,0.7575236457437661,15.597544217798998
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,1998.0,1.0,6.0,81.0,2.5801992281721273,0.23614092363851363,0.7638590763614863,15.739734027439573
EAST,Bâtiments Éducatifs et Culturels,1911.0,1.0,3.0,76.0,3.796498454427959,0.0,1.0,15.150733573748312
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,1999.0,1.0,4.0,94.0,2.3899155055352597,0.36513965935156417,0.6348603406484359,15.49959776743791
CENTRAL,Bâtiments Commerciaux et Administratifs,1962.0,1.0,2.0,71.0,1.8425534383455677,0.0,1.0,15.104784045627481
LAKE UNION,Bâtiments d'Hébergement,2008.0,1.0,6.0,74.0,1.6567589581806643,0.2465072589562798,0.7534927410437202,15.147216728799762
EAST,Bâtiments Commerciaux et Administratifs,1965.0,1.0,3.0,48.0,1.234165093083162,0.0,1.0,16.62054904521394
EAST,Bâtiments d'Hébergement,1908.0,1.0,7.0,71.0,0.667821373649339,0.0,1.0,15.796612918292867
LAKE UNION,Bâtiments de Vente et de Services,1929.0,1.0,2.0,96.0,1.958618681254962,0.0,1.0,14.033061499750707
LAKE UNION,Bâtiments Commerciaux et Administratifs,2010.0,1.0,5.0,96.0,2.1485258307516353,0.0,1.0,16.448066154186936
