Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,DistanceToDowntown,proportion_surface_parking,proportion_surface_building,Log_TotalGHGEmissions
DOWNTOWN,Bâtiments d'Hébergement,1927.0,1.0,12.0,60.0,0.8646107746539715,0.0,1.0,5.525373254682162
DOWNTOWN,Bâtiments d'Hébergement,1996.0,1.0,11.0,61.0,0.9072782067572586,0.1454531409922175,0.8545468590077825,5.6932606471966185
DOWNTOWN,Bâtiments d'Hébergement,1969.0,1.0,41.0,43.0,1.0476060443014645,0.20574829256047944,0.7942517074395206,7.6450533072773705
DOWNTOWN,Bâtiments d'Hébergement,1926.0,1.0,10.0,56.0,1.0380566249940628,0.0,1.0,5.660979352330892
DOWNTOWN,Bâtiments d'Hébergement,1980.0,1.0,18.0,75.0,1.1002548621991322,0.3531153889964688,0.6468846110035311,6.226556431938032
DOWNTOWN,Bâtiments Autres,1999.0,1.0,2.0,,1.2670044244451402,0.382349313378834,0.6176506866211661,5.713105546117053
DOWNTOWN,Bâtiments d'Hébergement,1926.0,1.0,11.0,27.0,0.989789293723931,0.0,1.0,5.176940380381437
DOWNTOWN,Bâtiments Autres,1926.0,1.0,8.0,,0.9333594125273219,0.0,1.0,5.404972044416576
DOWNTOWN,Bâtiments d'Hébergement,1904.0,1.0,15.0,43.0,0.24170257204779644,0.0,1.0,5.974216653698429
DOWNTOWN,Bâtiments d'Hébergement,1969.0,1.0,11.0,30.0,0.21919016559672883,0.12587243655452035,0.8741275634454797,6.539961607594982
DOWNTOWN,Bâtiments d'Hébergement,1998.0,1.0,25.0,36.0,0.23702071948319353,0.18356964487237976,0.8164303551276202,6.609308811083168
DOWNTOWN,Bâtiments d'Hébergement,1928.0,1.0,9.0,48.0,0.22007484219152568,0.0,1.0,5.796756594662978
DOWNTOWN,Bâtiments d'Hébergement,1980.0,1.0,33.0,58.0,0.35974404044464636,0.18230617308958322,0.8176938269104168,6.476387576550862
DOWNTOWN,Bâtiments d'Hébergement,1922.0,1.0,11.0,35.0,0.2952400703608915,0.2733485193621868,0.7266514806378133,6.239086053829017
DOWNTOWN,Bâtiments Autres,2004.0,1.0,11.0,,0.17090652249639884,0.1383495145631068,0.8616504854368932,5.206092422505519
DOWNTOWN,Bâtiments Autres,1930.0,1.0,6.0,,0.07855341288521094,0.0,1.0,6.075024140206913
DOWNTOWN,Bâtiments d'Hébergement,1983.0,1.0,28.0,31.0,0.2912896629033105,0.20418899733593415,0.7958110026640659,6.6894624438984165
DOWNTOWN,Bâtiments d'Hébergement,1916.0,1.0,10.0,39.0,0.18697850381698097,0.0,1.0,5.858847022493143
DOWNTOWN,Bâtiments Autres,1916.0,1.0,10.0,76.0,0.3506573416529873,0.0,1.0,7.143846644402559
DOWNTOWN,Bâtiments Autres,1985.0,1.0,19.0,,0.4128357948090331,0.0,1.0,7.43864820089824
NORTHEAST,Bâtiments d'Hébergement,2001.0,1.0,6.0,84.0,6.186771767209582,0.34524562037204265,0.6547543796279574,4.510969390589264
DOWNTOWN,Bâtiments Éducatifs et Culturels,1928.0,1.0,7.0,,1.4756757782510332,0.0,1.0,5.963682166095531
DOWNTOWN,Bâtiments Autres,1930.0,1.0,2.0,,1.130024901216321,0.0,1.0,2.315501318260592
EAST,Bâtiments d'Hébergement,1991.0,1.0,8.0,,0.9463291957996369,0.19096145604880385,0.8090385439511961,5.55129152782092
DOWNTOWN,Bâtiments d'Hébergement,2001.0,1.0,10.0,57.0,1.4565816165801633,0.22273748152630538,0.7772625184736947,5.797970813310776
DOWNTOWN,Bâtiments d'Hébergement,1978.0,1.0,5.0,57.0,1.3289664728482449,0.2368074842859231,0.7631925157140769,4.863217453310182
LAKE UNION,Bâtiments Commerciaux et Administratifs,1906.0,1.0,3.0,,6.57201573636612,0.0,1.0,5.06745661408942
NORTHEAST,Bâtiments d'Hébergement,1994.0,1.0,4.0,29.0,7.227131759826142,0.0,1.0,5.375278407684165
NORTHEAST,Bâtiments Industriels et de Stockage,1955.0,1.0,2.0,,6.909727976782929,0.0,1.0,1.5953389880545987
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1961.0,3.0,2.0,,10.94378209053789,0.0,1.0,5.74569187773341
MAGNOLIA / QUEEN ANNE,Bâtiments Éducatifs et Culturels,1990.0,1.0,2.0,97.0,7.162873887245405,0.0,1.0,3.4803165861147547
BALLARD,Bâtiments Commerciaux et Administratifs,1961.0,1.0,2.0,57.0,7.782338926474699,0.0,1.0,4.8794630213208565
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1900.0,1.0,2.0,83.0,3.2144559995903297,0.0,1.0,4.441002839774179
NORTHWEST,Bâtiments Éducatifs et Culturels,1954.0,1.0,3.0,95.0,9.329105459913752,0.0,1.0,5.516850305304563
DOWNTOWN,Bâtiments Industriels et de Stockage,1911.0,1.0,3.0,,1.6315104150797077,0.0,1.0,3.8379458020318302
DOWNTOWN,Bâtiments d'Hébergement,1969.0,1.0,24.0,67.0,0.49474766681609406,0.6199993979711628,0.3800006020288372,5.691473698188603
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1973.0,1.0,5.0,78.0,0.7343137733945257,0.0,1.0,4.211831257677767
